# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
2.049460e-01  -1.000000e+00  7.966625e-01  1.749428e-01  2.839466e-02  1.097751e-01  6.965163e-01  1.937086e-01  9.356232e-02  1.285409e-01  7.778968e-01
2.067256e-01  -1.000000e+00  8.184635e-01  1.529621e-01  2.857442e-02  7.828174e-02  5.577497e-01  3.639686e-01  1.032548e-01  2.892882e-01  6.074570e-01
2.085206e-01  -1.000000e+00  8.364215e-01  1.275049e-01  3.607359e-02  5.843432e-02  4.186180e-01  5.229477e-01  1.051441e-01  4.538772e-01  4.409787e-01
2.103312e-01  -1.000000e+00  8.494705e-01  1.038556e-01  4.667388e-02  4.884407e-02  3.016576e-01  6.494984e-01  1.016854e-01  5.944868e-01  3.038277e-01
2.121575e-01  -1.000000e+00  8.581123e-01  8.462870e-02  5.725904e-02  4.636935e-02  2.147249e-01  7.389057e-01  9.551839e-02  7.006464e-01  2.038353e-01
2.139996e-01  -1.000000e+00  8.635446e-01  7.046380e-02  6.599161e-02  4.770379e-02  1.563309e-01  7.959653e-01  8.875163e-02  7.732053e-01  1.380431e-01
2.158578e-01  -1.000000e+00  8.670468e-01  6.092397e-02  7.202924e-02  5.017373e-02  1.208752e-01  8.289511e-01  8.277948e-02  8.182008e-01  9.901969e-02
2.177321e-01  -1.000000e+00  8.696480e-01  5.522552e-02  7.512648e-02  5.197267e-02  1.023705e-01  8.456568e-01  7.837932e-02  8.424040e-01  7.921671e-02
2.196226e-01  -1.000000e+00  8.719935e-01  5.270229e-02  7.530425e-02  5.211579e-02  9.657964e-02  8.513046e-01  7.589075e-02  8.507181e-01  7.339118e-02
2.215296e-01  -1.000000e+00  8.743113e-01  5.303721e-02  7.265152e-02  5.032495e-02  1.019943e-01  8.476807e-01  7.536377e-02  8.449685e-01  7.966776e-02
2.234532e-01  -1.000000e+00  8.764129e-01  5.632177e-02  6.726534e-02  4.695738e-02  1.200712e-01  8.329714e-01  7.662973e-02  8.236071e-01  9.976321e-02
2.253934e-01  -1.000000e+00  8.777030e-01  6.297969e-02  5.931735e-02  4.300762e-02  1.548991e-01  8.020933e-01  7.928942e-02  7.821212e-01  1.385894e-01
2.273505e-01  -1.000000e+00  8.772165e-01  7.355453e-02  4.922896e-02  4.014420e-02  2.121876e-01  7.476682e-01  8.263929e-02  7.142578e-01  2.031029e-01
2.293246e-01  -1.000000e+00  8.737384e-01  8.833977e-02  3.792182e-02  4.067987e-02  2.972628e-01  6.620573e-01  8.558172e-02  6.143974e-01  3.000208e-01
2.313158e-01  -1.000000e+00  8.660830e-01  1.068488e-01  2.706823e-02  4.731909e-02  4.117809e-01  5.409000e-01  8.659791e-02  4.813703e-01  4.320318e-01
2.333243e-01  -1.000000e+00  8.536001e-01  1.272037e-01  1.919619e-02  6.250636e-02  5.493043e-01  3.881894e-01  8.389354e-02  3.234920e-01  5.926144e-01
2.353502e-01  -1.000000e+00  8.368924e-01  1.456759e-01  1.743172e-02  8.727355e-02  6.908871e-01  2.218393e-01  7.583407e-02  1.634370e-01  7.607290e-01
2.373938e-01  -1.000000e+00  8.185519e-01  1.567956e-01  2.465244e-02  1.197293e-01  8.033086e-01  7.696203e-02  6.171874e-02  3.989573e-02  8.983855e-01
2.394551e-01  -1.000000e+00  8.034686e-01  1.545425e-01  4.198893e-02  1.537780e-01  8.438715e-01  2.350456e-03  4.275342e-02  1.585960e-03  9.556606e-01
2.415343e-01  -1.000000e+00  7.980602e-01  1.349066e-01  6.703319e-02  1.791656e-01  7.752312e-01  4.560316e-02  2.277414e-02  8.986221e-02  8.873637e-01
2.436315e-01  -1.000000e+00  8.078960e-01  9.935760e-02  9.274635e-02  1.841261e-01  5.895278e-01  2.263461e-01  7.977898e-03  3.111146e-01  6.809075e-01
2.457469e-01  -1.000000e+00  8.339457e-01  5.751775e-02  1.085366e-01  1.611098e-01  3.323988e-01  5.064914e-01  4.944478e-03  6.100835e-01  3.849720e-01
2.478808e-01  -1.000000e+00  8.691347e-01  2.626266e-02  1.046026e-01  1.139004e-01  1.075928e-01  7.785068e-01  1.696488e-02  8.661445e-01  1.168906e-01
2.500331e-01  -1.000000e+00  8.983127e-01  2.294011e-02  7.874717e-02  6.147542e-02  4.135713e-02  8.971675e-01  4.021186e-02  9.357028e-01  2.408537e-02
2.522041e-01  -1.000000e+00  9.045028e-01  5.373406e-02  4.176311e-02  3.264875e-02  2.045653e-01  7.627860e-01  6.284842e-02  7.417006e-01  1.954509e-01
2.543940e-01  -1.000000e+00  8.807007e-01  1.038814e-01  1.541788e-02  4.926821e-02  5.314644e-01  4.192674e-01  7.003104e-02  3.646542e-01  5.653147e-01
2.566029e-01  -1.000000e+00  8.400682e-01  1.402737e-01  1.965806e-02  1.056844e-01  8.116337e-01  8.268183e-02  5.424733e-02  4.809256e-02  8.976601e-01
2.588310e-01  -1.000000e+00  8.131279e-01  1.322289e-01  5.464319e-02  1.625261e-01  8.145150e-01  2.295894e-02  2.434600e-02  5.325613e-02  9.223979e-01
